url,handle_action,destination
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03868_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03869_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03870_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03871_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03872_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03873_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.04175_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.04176_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05137_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05138_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05139_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05140_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05141_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05142_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05143_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05144_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05145_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05146_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.05147_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
